Id,NDVI_mean,NDVI_min,NDVI_max,Fecha
0,0.29701883550312275,0.24438742783835793,0.4798418972332016,2022-03-14
1,0.3168695931812459,0.2604688763136621,0.4815369261477046,2022-03-15
2,0.30297070209233123,0.24934057408844065,0.45834269032113184,2022-03-16
3,0.3685278485122345,0.22768383798662997,0.5337837837837838,2022-03-17
4,0.3371159959852056,0.1618599175985874,0.49522983521248914,2022-03-18
5,0.338671817283764,0.24242424242424243,0.4857997010463378,2022-03-21
6,0.32148033124723346,0.23624964377315474,0.4196829195333533,2022-03-22
7,0.36059145631624057,0.23743766781741465,0.5503957783641161,2022-03-23
8,0.38953203190258145,0.28867732063923834,0.5038839979285344,2022-03-24
9,0.35079074083517947,0.2614660917287338,0.4781411359724613,2022-03-25
10,0.3666366843091358,0.2750642673521851,0.4989384288747346,2022-03-27
11,0.34335277495059147,0.2663284717818643,0.4766295707472178,2022-03-28
12,0.37542009739889576,0.2903225806451613,0.5263671875,2022-03-29
13,0.36570431919977137,0.2639718804920914,0.5327913279132791,2022-03-31
14,0.3767969457289629,0.2835032087580219,0.5628415300546448,2022-04-04
15,0.3893466896180609,0.294890947116821,0.5432258064516129,2022-04-07
16,0.4035598272327425,0.30446773303916164,0.606401384083045,2022-04-11
17,0.4265056629409587,0.33404425486536926,0.6151254211905653,2022-04-14
18,0.406264934155046,0.2146118721461187,0.5834522111269614,2022-04-16
19,0.39015742208484677,0.29820116544210795,0.5785737334624073,2022-04-28
20,0.5050575092095675,0.3485540334855403,0.7027115321790265,2022-05-15
21,0.6015262134053018,0.4959306904699396,0.729957805907173,2022-05-27
22,0.5683502234461216,0.4393558127830901,0.739342926961716,2022-06-03
23,0.5410534696272038,0.4092736531760922,0.7088993623509842,2022-06-04
24,0.5667878546071178,0.411358024691358,0.7623143080531666,2022-06-05
25,0.5335722593757803,0.407483341875961,0.7024665981500514,2022-06-06
26,0.5695163788665906,0.41234918381831087,0.7235116044399597,2022-06-07
27,0.46772386296210966,0.30318916557448666,0.6384976525821596,2022-06-10
28,0.6227858275410696,0.47193347193347196,0.8098783817324398,2022-06-21
29,0.5979511236920635,0.4658077304261645,0.7665333019534007,2022-06-24
30,0.5667655946421295,0.44625719769673705,0.7470115192349489,2022-06-29
31,0.5347504908377287,0.381102744717027,0.7734165923282783,2022-06-30
32,0.5243866039824319,0.3533210332103321,0.7672432201580184,2022-07-01
33,0.5756443720182371,0.36925220622387367,0.799701683358193,2022-07-06
34,0.5564997530481287,0.396056070325493,0.7351290684624018,2022-07-07
35,0.6305323236726433,0.4479768786127168,0.828744939271255,2022-07-09
36,0.6573746714728083,0.48300427437410953,0.8043212392988178,2022-07-10
37,0.6552421883362427,0.48248949369621774,0.8139853747714808,2022-07-18
38,0.6764969970266485,0.5055016181229773,0.8165308498253784,2022-07-20
39,0.6664815287267024,0.4919952210274791,0.8235989595649089,2022-07-21
40,0.6615723278763106,0.49101271372205174,0.8160651920838184,2022-07-22
41,0.7591311902142264,0.5801691914223883,0.8809471121929631,2022-08-03
42,0.7810259736136448,0.5852724594992637,0.8582240161453077,2022-08-08
43,0.7604249181854222,0.5412371134020618,0.8635827236252065,2022-08-09
44,0.7381333421843521,0.5060896605338171,0.8226024313372354,2022-08-12
45,0.7809127005566133,0.5680888369374635,0.8542372881355932,2022-08-18
46,0.7761428409454629,0.5574276888514462,0.8651268302742834,2022-08-23
47,0.7912118749386862,0.5969838793551742,0.8696137530698816,2022-08-25
48,0.7662705115115505,0.5866601752677703,0.8435845213849287,2022-08-27
49,0.7629121270943123,0.5508670520231214,0.8471537427162708,2022-09-01
50,0.8502713430711263,0.7170075651442981,0.9084716900808855,2022-09-08
51,0.7809229039742931,0.6444195176668536,0.8614270941054809,2022-09-12
52,0.7706783955025872,0.6237085372485046,0.8500417710944027,2022-09-14
53,0.7887113607492856,0.5795755968169761,0.871137409598948,2022-09-21
54,0.7386959847222587,0.5263459335624284,0.8428290766208252,2022-10-01
55,0.7414683487154818,0.5156462585034014,0.8475048190190619,2022-10-03
56,0.7405504442226833,0.5284751990202082,0.8275369223439734,2022-10-13
57,0.746569847617771,0.49768707482993196,0.827708703374778,2022-10-16
58,0.7225275168432812,0.5021987686895338,0.8045003629324946,2022-10-20
59,0.7396107899550718,0.5042286380869058,0.8267148014440433,2022-10-21
60,0.7271853406656936,0.49441569054753476,0.8132084770823066,2022-10-27
61,0.7196018155362731,0.5317525211229218,0.7961511047754811,2022-10-28
62,0.7200601693070294,0.5416327637645783,0.7959281437125748,2022-11-03
63,0.7210069624564507,0.5234595816845675,0.7995889003083247,2022-11-05
64,0.7043664396641804,0.5239852398523985,0.7831033648027113,2022-11-09
65,0.7066260470085989,0.5174927113702624,0.7804693414080243,2022-11-10
66,0.6944213733285014,0.5477897252090801,0.7838684416601409,2022-11-23
67,0.6906638949936704,0.5838544627629335,0.7791109899100082,2022-12-08
68,0.691031898077877,0.5518777848504137,0.786048804535371,2022-12-12
69,0.6728080455071771,0.5687191478306054,0.7633042096902304,2022-12-14
70,0.6900417401227401,0.5778661365142479,0.7807270628967109,2022-12-15
71,0.6993215536449102,0.5772657450076805,0.7878709677419354,2022-12-22
72,0.6448729923825736,0.5433295324971493,0.7427821522309711,2022-12-28
73,0.661198902368856,0.5581316058643028,0.7639085004236091,2023-01-03
74,0.6446431614674616,0.544344473007712,0.7336030049118751,2023-01-04
75,0.6318584480032471,0.5498417721518988,0.715028901734104,2023-01-13
76,0.6297506635649247,0.532120311919792,0.7151982965131755,2023-01-14
