Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,Valor,Kc,ETc
1,2022-02-15,7,0.2052591451569971,0.1745602165087956,0.3861509669369931,-0.2642645029564261,-0.3284928492849285,-0.1161538461538461,1.7221419235738753,1.2628372497824194,1.9783748361730007,3.724121,0.4060480169305467,1.5121719468594044
2,2022-03-02,7,0.2095720331181277,0.1683731513083048,0.4086301766579785,-0.2249164368520525,-0.2915509718365728,-0.0913043478260869,1.5835030185044887,1.200956937799043,1.8230683090705488,4.216826,0.41100783808584684,1.7331485378441893
5,2022-03-07,7,0.2364264412760779,0.1964179104477612,0.3713646532438479,-0.204374222969749,-0.2605166051660517,-0.111896765069825,1.5153995308255213,1.2519904458598723,1.7045908183632734,4.7891393,0.44189040746748953,2.116274716695568
4,2022-03-17,7,0.2657379597122805,0.2071611253196931,0.393574297188755,-0.1678499570566737,-0.2421127259836937,-0.0661059714045416,1.4051573232830497,1.1415706051873198,1.638914873713751,6.025213,0.4755986536691226,2.865583190869695
3,2022-03-22,7,0.2887510792977655,0.2251889168765743,0.4147754707870594,-0.1300150834025476,-0.1968744691693562,-0.0467620118913707,1.3006645365621676,1.098111935266352,1.4902707275803722,5.8426514,0.5020637411924304,2.933383420367191
9,2022-03-27,7,0.2990272555426074,0.2063157894736842,0.461044912923923,-0.1283520172619562,-0.2243654822335025,-0.0042167733874746,1.2971510682945646,1.0084692597239648,1.5785340314136125,5.480632,0.5138813438739985,2.8163945374388404
10,2022-04-01,7,0.3151379179297159,0.2110726643598615,0.4512471655328798,-0.1043230181509349,-0.1764169579091323,-0.0218140068886337,1.2348953666621505,1.0446009389671362,1.4284132841328414,5.224958,0.5324086056191732,2.7818126031987442
8,2022-04-06,7,0.2929324434891082,0.2244053774560496,0.3735294117647059,-0.1013171664734254,-0.1672498250524842,-0.0159661127403062,1.2269269800178642,1.0324503311258275,1.4016806722689077,7.032402,0.5068723100124743,3.564529846676345
7,2022-04-11,7,0.3301062974946275,0.2365315546434069,0.4482417038137692,-0.1171763699519216,-0.2041568890378813,-0.0338870431893687,1.267435380071409,1.0701513067400277,1.5130581297388377,6.4632335,0.5496222421188216,3.552336887607479
6,2022-04-16,7,0.3506009335558697,0.2566201251805489,0.4875373878364905,-0.1174763562095136,-0.204147764095917,-0.0164575525501059,1.2685090446933598,1.0334658714380385,1.513029315960912,5.9641294,0.5731910735892501,3.4185857338112102
13,2022-05-01,7,0.459367631088088,0.3353093738421637,0.5897862892034416,-0.0295390800447882,-0.1479881791316208,0.1170046801872074,1.0652304928190948,0.7905027932960894,1.347385272145144,4.557532,0.6982727757513012,3.1824005202153796
12,2022-05-11,7,0.5032231398339325,0.3496155585707824,0.6305290546400694,0.0100128910333468,-0.0966554157717091,0.1316142495155761,0.9834749413926152,0.7673867228661749,1.2139945652173914,5.340196,0.7487066108090223,3.9982400482158975
11,2022-05-16,7,0.5263514464376235,0.251426653239342,0.6625341458289556,0.0539058691332328,-0.0732454796199816,0.1828374943937808,0.9009866158718988,0.6908493427704753,1.158068783068783,6.634955,0.775304163403267,5.144108235493324
17,2022-05-21,7,0.5373077379881469,0.3258541560428353,0.6437864513234635,0.0644623063834557,-0.1276631437678242,0.1873792659368963,0.88300247817954,0.6843817787418656,1.2926923076923076,6.268201,0.7879038986863689,4.938740005649796
18,2022-05-26,7,0.4992514676419544,0.2485846628924344,0.6515880654475458,0.0682222492507391,-0.0868005738880918,0.203788144510698,0.8760279120270384,0.6614219114219114,1.190102120974077,5.0353475,0.7441391877882475,3.7469993988815826
20,2022-06-05,7,0.6438225736670723,0.386929948283968,0.7587221521647751,0.1293226312542386,-0.0663079601202722,0.2759987801158889,0.7750399721534028,0.5673996175908221,1.1420338983050848,6.74893,0.9103959597171332,6.144198604413751
19,2022-06-10,7,0.6624800512831103,0.3968405935854476,0.7813696299447044,0.1435956366812119,-0.0698119222186802,0.2822299651567944,0.7534228649268421,0.5597826086956522,1.150102810143934,6.6018114,0.9318520589755768,6.151911546058435
24,2022-06-25,7,0.7025782503827736,0.4508908177249885,0.8026342451874366,0.1888147103455857,-0.0294881588999236,0.3871582962492053,0.6867809590282555,0.4417965169569202,1.0607682619647356,5.834705,0.9779649879401896,5.706137204959564
25,2022-06-30,7,0.6380656251264806,0.3918236104731281,0.7411117658613239,0.1820751094293394,-0.0411392405063291,0.2981624184943687,0.6954930304618397,0.5406392694063927,1.0858085808580855,5.2296433,0.9037754688954527,4.726423325613463
23,2022-07-05,7,0.6894794852148879,0.4460048426150121,0.7793910062512603,0.2082040319085503,-0.0177631578947368,0.3256308908482822,0.658770846760315,0.5087155963302752,1.0361687876758203,5.821026,0.9629014079971211,5.60507413138785
22,2022-07-10,7,0.7149873171300316,0.432,0.8051282051282052,0.2228599608183564,-0.0304671631685849,0.3386505024724836,0.6392198357110794,0.4940419447092469,1.062849162011173,6.6173306,0.9922354146995364,6.565949772094932
27,2022-07-20,7,0.7097646516594954,0.4766355140186916,0.785232153814686,0.250903126537839,0.0369155045118949,0.3594771241830065,0.6019313291033127,0.4711538461538461,0.9287974683544304,6.577692,0.9862293494084197,6.487112901768967
30,2022-07-30,7,0.7526319206451715,0.5093242915960281,0.8105451295799821,0.293351400135252,0.0537707135610415,0.3870047543581617,0.5495244913360353,0.4419561243144424,0.8979460847240052,5.3640223,1.035526708741947,5.554588357937409
