,Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,Valor,Kc,ETc
0,1,2022-01-01,12,0.6764733132890155,0.4554579673776662,0.7418527072106749,0.2294716486240802,-0.0270520231213872,0.3212636246074266,3.877639,0.9479443102823678,3.67578582737901
1,2,2022-01-06,12,0.6353868490705092,0.4322660098522167,0.7007534983853606,0.1783621383376452,-0.0716180371352785,0.2691329027206889,2.869796,0.9006948764310856,2.5848105536024235
2,3,2022-01-16,12,0.6147538292880113,0.4336378291241268,0.6818409204602301,0.1808601227974662,-0.0382744766335377,0.2648607975921745,2.9935906,0.8769669036812129,2.6252798793711842
3,4,2022-01-31,12,0.5907119763519016,0.4129478315524827,0.6699546787523327,0.1595637375448872,-0.0602928509905254,0.2519561815336463,3.527416,0.8493187728046869,2.9959006282916176
4,5,2022-02-15,12,0.5475360506483599,0.3852272727272727,0.6260515603799186,0.1186626525896969,-0.1043514997887621,0.2045773940975707,3.7707696,0.7996664582456139,3.01535797089223
5,6,2022-03-02,12,0.5012574507561138,0.3221406086044071,0.5818373812038015,0.098256405469345,-0.1147540983606557,0.176878612716763,4.3141017,0.7464460683695309,3.2202442525113093
6,7,2022-03-07,12,0.3730295739648592,0.1984732824427481,0.4663499604117181,0.1992787378905199,-0.0182594261323215,0.3191489361702128,5.421426,0.598984010059588,3.247347485721312
7,8,2022-03-17,12,0.4650676387621097,0.2438548575887631,0.5587884569520629,0.079616835092306,-0.0991805594800791,0.1493518025217545,6.4403524,0.7048277845764261,4.5393393139834695
8,9,2022-03-22,12,0.4534742209760917,0.2343457067866516,0.5446020678047607,0.0671272089016978,-0.1071117561683599,0.1339805825242718,6.455727,0.6914953541225054,4.46410522798322
9,10,2022-03-27,12,0.4406352360637817,0.2720496894409938,0.5464956481905634,0.0732266988332734,-0.0967965367965368,0.1403209286445886,5.671845,0.6767305214733489,3.838310624566007
10,11,2022-04-01,12,0.342728341318787,0.1696750902527075,0.4347434743474347,0.1384396445855968,-0.197698314837649,0.2221443587946741,5.590019,0.564137592516605,3.1535398607820797
11,12,2022-04-06,12,0.3711029738568657,0.2797456857402361,0.432121491026231,0.0365933671131327,-0.1253955037468776,0.0950728660652324,7.203085,0.5967684199353955,4.298573654110348
12,13,2022-04-11,12,0.3915771619888135,0.2673960612691466,0.4810810810810811,0.0238561373700569,-0.1617602427921092,0.0812305565157276,7.1499596,0.6203137362871355,4.435218153778073
13,14,2022-04-16,12,0.3950902938425727,0.2881057268722466,0.4670487106017192,0.0154717197338694,-0.1622721108934759,0.072463768115942,6.278408,0.6243538379189586,3.919948130821093
14,15,2022-05-01,12,0.3620503351248174,0.285786545270612,0.4425612052730697,-0.0094611572644305,-0.1551213735938425,0.0601355783949267,4.4133306,0.58635788539354,2.587791198158603
15,16,2022-05-11,12,0.359144149063772,0.2904176904176904,0.4457382394038193,-0.0401621539618862,-0.1584911286715372,0.0212218649517684,5.5266824,0.5830157714233378,3.222143002847784
16,17,2022-05-16,12,0.3814361061502269,0.3027436140018921,0.4772093023255814,-0.0077630327906983,-0.1326547099693003,0.0629641588634162,6.972256,0.6086515220727609,4.243674226680939
17,18,2022-05-21,12,0.3480069400790408,0.2727272727272727,0.4249547920433996,-0.0268504233143725,-0.1457947075678408,0.0290569243840271,7.010074,0.5702079810908969,3.997200142837788
18,19,2022-05-26,12,0.3428587405988078,0.2795918367346939,0.4237447207883623,-0.0436095666620703,-0.1722772277227722,0.0245358090185676,5.5792437,0.5642875516886289,3.148297767747207
19,20,2022-06-05,12,0.1396663073027522,0.0992292870905587,0.2113055181695827,-0.2513213927581186,-0.3235360614967217,-0.1253901230034881,7.2012568,0.330616253398165,2.380852542974059
20,21,2022-06-10,12,0.1243454411304166,0.0934711131986848,0.1924215512137359,-0.2392572033119903,-0.3083623693379791,-0.124308002013085,6.623547,0.31299725729997907,2.0731520445975047
21,22,2022-06-25,12,0.1408572636798865,0.1117437722419928,0.2367972742759795,-0.3268863291415,-0.3830429732868757,-0.219163689850809,6.116605,0.33198585323186947,2.030626329807319
22,23,2022-06-30,12,0.1171909396119749,0.0907441016333938,0.1939769707705934,-0.3449976594695897,-0.3911822521763549,-0.1932704144439885,5.7948074,0.3047695805537711,1.766081020687889
23,24,2022-07-10,12,0.1282328022910538,0.0942334739803094,0.2069536423841059,-0.3134070674368733,-0.3531536537927202,-0.2061068702290076,6.8954334,0.3174677226347119,2.1890775380773286
24,25,2022-07-15,12,0.1316763573982727,0.1154529307282415,0.1822173435784851,-0.0803768458900034,-0.0989667049368542,-0.0434603501544799,4.057682,0.3214278110080136,1.3042518430266186
25,26,2022-07-15,12,0.1395944579475666,0.1241751649670066,0.1817168338907469,-0.0769824940613841,-0.0975441817764516,-0.0367481010059536,4.057682,0.3305336266397016,1.3412003472106375
26,27,2022-07-20,12,0.1226170412603425,0.0969345484672742,0.1955128205128205,-0.2760542858124255,-0.3101010101010101,-0.1800323549803559,6.871166,0.3110095974493939,2.136998571667962
27,28,2022-07-25,12,0.1330762445339614,0.0708661417322834,0.2035398230088495,0.116544876793125,0.0482215661464923,0.1631323631323631,5.23119,0.3230376812140556,1.6898714875901555
28,29,2022-07-30,12,0.1597701091589544,0.119395941481831,0.2776362710137544,-0.3716104937104117,-0.4096588990206011,-0.20162224797219,5.492854,0.3537356255327976,1.9430181456503295
29,30,2022-08-04,12,0.1337777528098104,0.1078125,0.2396576319543509,-0.3086465822341507,-0.3429158110882956,-0.1710980312563426,6.124797,0.323844415731282,1.9834813059377088
