,Unnamed: 0,Parcela,mean,min,max,Fecha,Valor,Kc,ETc
0,0,9,0.7541572484376294,0.5978835978835979,0.8064516129032258,2022-01-01,3.6051686,1.0372808357032737,3.739572298259201
1,1,9,0.7052538962893021,0.5423872979869577,0.7637795275590551,2022-01-06,2.7663534,0.9810419807326974,2.713908818942632
2,2,9,0.690772546309377,0.5764966740576497,0.7561676646706587,2022-01-16,2.9147666,0.9643884282557835,2.810967180106454
3,3,9,0.6315252009967982,0.5130478844692171,0.6915799432355724,2022-01-31,3.3946407,0.8962539811463179,3.0424602419363236
4,4,9,0.6365302043653783,0.4858342077649528,0.7141436738752175,2022-02-15,3.724121,0.9020097350201851,3.3591933963931067
5,5,9,0.6100996733578081,0.4762759681969736,0.6854201580081398,2022-03-02,4.216826,0.8716146243614793,3.6754472099877193
6,6,9,0.5623189820293959,0.4323809523809523,0.6278643446379468,2022-03-07,4.7891393,0.8166668293338053,3.91113120736892
7,7,9,0.5816085272006667,0.4225092250922509,0.6605790645879732,2022-03-17,6.025213,0.8388498062807667,5.054248757850357
8,8,9,0.5762957911701228,0.4200367647058823,0.6659473457056538,2022-03-22,5.8426514,0.8327401598456412,4.865410460758359
9,9,9,0.5426415009842164,0.3961456102783726,0.6468619246861924,2022-03-27,5.480632,0.7940377261318489,4.351828571045447
10,10,9,0.5085694438708944,0.3839099624843685,0.6024518388791593,2022-04-01,5.224958,0.7548548604515286,3.944084941955098
11,11,9,0.4141164796696283,0.3321769297484822,0.4816606207174526,2022-04-06,7.032402,0.6462339516200725,4.544576933840901
12,12,9,0.4796378144164665,0.3589990375360924,0.5831842576028623,2022-04-11,6.4632335,0.7215834865789365,4.6637625635037825
13,13,9,0.4924995758641143,0.3729216152019002,0.5834457939721097,2022-04-16,5.9641294,0.7363745122437314,4.391832877883498
14,14,9,0.4841562917446803,0.3506224066390041,0.5948315643747116,2022-05-01,4.557532,0.7267797355063823,3.312321901521874
15,15,9,0.4391727069321974,0.1924319335486848,0.5648351648351648,2022-05-11,5.340196,0.675048612972027,3.6048919027987667
16,16,9,0.2255758732534346,0.1585648148148148,0.3463587921847247,2022-05-16,6.634955,0.4294122542414498,2.8491309833405785
17,17,9,0.1672486985907884,0.1343523732904263,0.2862086010874938,2022-05-21,6.268201,0.36233600337940663,2.2711948987188
18,18,9,0.1958883924393534,0.1099928109273903,0.3354271356783919,2022-05-26,5.0353475,0.39527165130525643,1.990330121220795
19,19,9,0.2031437260136445,0.1521610420367081,0.3251072961373391,2022-06-05,6.74893,0.4036152849156912,2.7239713048260557
20,20,9,0.2286483784978485,0.1409062693978895,0.440460947503201,2022-06-10,6.6018114,0.4329456352725257,2.858225430522402
21,21,9,0.3874784136827146,0.1388465059505645,0.6409247417609444,2022-06-25,5.834705,0.6156001757351217,3.591845423362593
22,22,9,0.3459572377278337,0.1783545002760905,0.5913419913419914,2022-06-30,5.2296433,0.5678508233870088,2.969657253925354
23,23,9,0.3679944373506112,0.2067039106145251,0.5877152163797115,2022-07-05,5.821026,0.5931936029532029,3.452995385824271
24,24,9,0.3884903249766243,0.2045977011494253,0.5506198347107438,2022-07-10,6.6173306,0.6167638737231179,4.081330454562524
25,25,9,0.3472002879429754,0.2179419525065963,0.4553946753853339,2022-07-15,4.2021303,0.5692803311344217,2.392190128653987
26,26,9,0.4419936260624634,0.2404900064474532,0.5872278664731495,2022-07-20,6.577692,0.6782926699718329,4.461600268932365
27,27,9,0.4196530834187356,0.2648539778449144,0.5282511210762332,2022-07-25,5.2912865,0.6526010459315459,3.453099104223469
28,28,9,0.571565668434146,0.3333333333333333,0.6995614035087719,2022-07-30,5.3640223,0.8273005186992679,4.43765843110444
29,29,9,0.5607106555494588,0.2764747690120824,0.6952380952380952,2022-08-04,6.0495334,0.8148172538818775,4.929264192254697
30,30,9,0.6875113620495044,0.4707740916271722,0.806387719732607,2022-08-09,5.821786,0.9606380663569299,5.592629245783846
31,31,9,0.6642340269960231,0.5138496325607688,0.776173285198556,2022-08-14,4.309128,0.9338691310454266,4.024161620923517
32,32,9,0.677032441485735,0.510148849797023,0.7677001388246182,2022-08-24,5.9032273,0.9485873077085953,5.59972649129888
33,33,9,0.7254693630100709,0.5958605664488017,0.8141613737944013,2022-09-13,4.602117,1.0042897674615814,4.62185901176099
34,34,9,0.7317773672593885,0.6411730879815987,0.8053915275994865,2022-09-23,4.214055,1.0115439723482966,4.262701934394201
35,35,9,0.7256742466606932,0.60250569476082,0.8223938223938224,2022-10-13,4.4506645,1.0045253836597972,4.470805464403539
36,36,9,0.6831601032691663,0.5600981193785772,0.782509505703422,2022-10-28,4.3675904,0.9556341187595413,4.173818403006632
37,37,9,0.686945391472055,0.5151515151515151,0.8003085739475424,2022-11-02,2.9819264,0.9599872001928632,2.8626111759171837
38,38,9,0.7834337591195933,0.6275780789628757,0.8654205607476636,2022-11-27,2.9512036,1.0709488229875324,3.1605880218165683
39,39,9,0.7624215354190709,0.5659978880675819,0.8407699037620298,2022-12-22,2.6765351,1.0467847657319314,2.8017561676267917
40,40,9,0.753703346759933,0.5166666666666667,0.8349429323968394,2022-12-27,2.6593611,1.0367588487739228,2.757116152510153
41,41,9,0.6662869324707904,0.477906976744186,0.776039119804401,2023-01-16,3.1169145,0.9362299723414089,2.9181487761255362
42,42,9,0.6519413852034341,0.4678362573099415,0.7466307277628033,2023-02-05,3.3240013,0.9197325929839493,3.057192334731018
43,43,9,0.5837867998327588,0.4019138755980861,0.6713039377505305,2023-02-15,4.4592023,0.8413548198076727,3.75177134760246
