Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Valor,Kc,ETc
1,2022-02-15,10,0.2079310603819095,0.1539634146341463,0.2643869891576313,-0.2724827217100475,-0.3839479392624729,-0.1350114416475972,1.756441048220209,1.312169312169312,2.2464788732394365,0.3578349240932584,0.2746177370030581,0.4363535297387437,0.4520662840298077,0.3535435630689207,0.7131280388978931,3.724121,0.4091207194391959,1.5236150627986176
2,2022-03-07,10,0.2252740122288065,0.181046676096181,0.2876712328767123,-0.2017409707186402,-0.2707616707616707,-0.0751341681574239,1.5074199240769488,1.1624758220502902,1.7425876010781671,0.3272149223578435,0.2619439868204283,0.378440366972477,0.6185229883763489,0.4430811179277437,1.001017984390906,4.7891393,0.4290651140631274,2.054852600018706
4,2022-03-17,10,0.2798197411267038,0.225103734439834,0.3817492895484686,-0.1637980354475963,-0.2462383568187246,-0.0373408158860349,1.3938173004999128,1.077578475336323,1.6533586818757922,0.3820029563077092,0.3306177868295994,0.4305328538738149,0.6439885865912033,0.4192908290915365,1.0278864138751913,6.025213,0.49179270229570937,2.9631557831772377
5,2022-03-22,10,0.318557775233002,0.2275132275132275,0.4515942028985507,-0.1202294295480871,-0.197992700729927,-0.0125555340931041,1.2755822799725711,1.0254303599374022,1.4937428896473266,0.4316744743703349,0.3530678148546824,0.50814332247557,0.6115002028624982,0.4078289360234522,0.946307094266278,5.8426514,0.5363414415179523,3.1336560741628823
9,2022-03-27,10,0.3269481066418024,0.2,0.4988452655889145,-0.1160213237730668,-0.1976924783669847,-0.0042016806722689,1.2652199423594506,1.0084388185654007,1.4928097345132745,0.4373850670193405,0.3409326424870466,0.5365492749334122,0.6402410857235893,0.3850432104047232,1.096519189085809,5.480632,0.5459903226380728,2.992372033940546
8,2022-04-06,10,0.3566421664543852,0.2458874458874458,0.4985200845665962,-0.0195091496915322,-0.1085854707418215,0.1344430217669654,1.043033240077188,0.7629796839729119,1.2436250861474845,0.3556489243516911,0.2742504409171076,0.4414850686037126,2.5741111674073123,1.2513863216266174,11.868512110726645,7.032402,0.5801384914225429,4.079767087356874
7,2022-04-11,10,0.4158838500307894,0.2599905970850963,0.5543478260869565,-0.0405808954215858,-0.1383234492707164,0.0648464163822525,1.087392489647471,0.8782051282051282,1.3210565476190477,0.4436204803748979,0.3353263577478824,0.5410866636731029,1.126098144501508,0.6793611793611793,1.9357638888888888,6.4632335,0.6482664275354079,4.189897291372171
6,2022-04-16,10,0.4160644341994213,0.2582116788321167,0.5318930041152263,-0.0565387813583115,-0.1512195121951219,0.037860368183397,1.122174262191406,0.927041499330656,1.3563218390804597,0.4483260668766557,0.3265993265993266,0.5123425692695214,1.2275424227054623,0.6927784577723378,2.195780176643769,5.9641294,0.6484740993293344,3.8675834409486036
12,2022-05-01,10,0.4606726052897086,0.3254125412541254,0.5801041064198958,0.022645228767924,-0.1177635923398635,0.1555922410235245,0.9587275958012872,0.7307142857142858,1.2669660678642714,0.4382045178976547,0.3554157005631003,0.4977827050997783,1.9143682163619136,0.944221655122129,3.784490960989534,4.557532,0.6997734960831649,3.1892401011508986
11,2022-05-16,10,0.5374652318593593,0.3569131832797427,0.65485290711142,0.0696949323888797,-0.0739570164348925,0.1908345877236996,0.872460815284815,0.6794943820224719,1.159726962457338,0.5110817645598937,0.3771849126034958,0.58011540168664,1.9761416294499223,1.1206896551724137,3.212532148702362,6.634955,0.7880850166382632,5.228908621569127
