Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,Valor,Kc,ETc
7,2022-03-17,1,0.1271733191220636,0.064113238967527,0.3248081841432225,-0.2768499829867433,-0.5424873382104671,0.0109782873871676,6.4901423,0.3162493169903731,2.0525030695453292
4,2022-03-22,1,0.2094843451680515,0.1636784268363215,0.3064516129032258,-0.2920777370883233,-0.402846739490235,-0.0266616597822005,6.49226,0.4109069969432592,2.667715059974844
5,2022-03-27,1,0.1893892866601835,0.1311775472849298,0.3377618804292284,-0.3224353175734464,-0.5247261865250581,-0.0058040286787299,5.696387,0.387797679659211,2.209045661040894
6,2022-04-01,1,0.1807313231491152,0.0517176292940732,0.317516805061289,-0.2628049422865985,-0.3931598947676118,-0.0006708707902857,5.6393614,0.3778410216214825,2.1307820726687536
9,2022-04-06,1,0.1955181281455658,0.1624927198602213,0.274820143884892,-0.2241808807609643,-0.3079496574796877,-0.0327455919395466,7.3021927,0.3948458473674007,2.8832404642715477
8,2022-04-11,1,0.2204232792005813,0.1581769436997319,0.3979959919839679,-0.2770170238062768,-0.3644646924829157,-0.0481189851268591,7.250565,0.42348677108066846,3.070518360360507
14,2022-04-16,1,0.2233322279032968,0.1534001054296257,0.3853727144866385,-0.2705895924699387,-0.3494584837545126,-0.0952782462057335,6.3235817,0.4268320620887913,2.6991074167979447
13,2022-04-21,1,0.1740703552318152,-0.0017974835230677,0.3605442176870748,-0.118912579965282,-0.2806818181818182,0.1556217423678332,4.4672465,0.37018090851658747,1.6536893679375455
11,2022-05-11,1,0.258450581058385,0.1716417910447761,0.3948296122209165,-0.2229112741045585,-0.3180150608225526,-0.0936472217413882,5.555295,0.4672181682171427,2.5955347538058517
10,2022-05-16,1,0.3092050873364882,0.1977935382190701,0.4969574036511156,-0.1635707677269938,-0.2848324514991182,0.043382756727073,7.015527,0.5255858504369615,3.687261724558465
17,2022-05-21,1,0.3197443085224442,0.1775304716481187,0.4819277108433735,-0.1466735291475092,-0.2798211745580166,0.0390778746134382,7.0722632,0.5377059548008107,3.802798036558637
16,2022-05-26,1,0.3420323616116949,0.2179072276159654,0.5086350974930363,-0.1386640201072848,-0.2760499033561764,0.0448261416003351,5.6280923,0.5633372158534491,3.1705138468482343
15,2022-05-31,1,0.3488595904412684,0.2182381584772023,0.5231053604436229,-0.128419516498899,-0.2357043235704323,0.0455887176123319,6.013163,0.5711885290074586,3.4346497286520767
19,2022-06-05,1,0.3611717206741685,0.2210526315789473,0.5485714285714286,-0.1346542569157695,-0.2440484883890755,0.0373800860072775,7.2417297,0.5853474787752937,4.238928221867163
18,2022-06-10,1,0.3510190690842328,0.1988636363636363,0.5748987854251012,-0.1599491533791788,-0.2731369708675358,0.0173259235044132,6.6546965,0.5736719294468677,3.8176125810383175
21,2022-06-20,1,0.343219362653155,0.2358870967741935,0.5499124343257443,-0.0814928144189257,-0.1732851985559566,0.1202781729097518,5.43286,0.5647022670511282,3.0679483585713925
22,2022-06-25,1,0.4098827963116754,0.2517605633802817,0.6966007102993405,-0.1453553766343081,-0.2578374920025592,0.1370757180156658,6.12604,0.6413652157584266,3.929028966344752
20,2022-06-30,1,0.4026283781743617,0.2265943012211669,0.7074130767548655,-0.1275106998345828,-0.248086192231358,0.1581133194897656,5.818165,0.6330226349005159,3.68303013858596
27,2022-07-10,1,0.447591715235527,0.2637707120465741,0.689037098791163,-0.0645694911738854,-0.1956552808346434,0.1827300479720889,6.9233246,0.6847304725208561,4.740611324773266
25,2022-07-20,1,0.432516621336003,0.2958199356913183,0.5738963531669866,-0.0010343507763031,-0.0851915380217267,0.1675921970667805,6.8602767,0.6673941145364034,4.578508293671219
29,2022-07-30,1,0.5976479201006124,0.4322508398656215,0.7168494516450648,0.0573229638469706,-0.0906564779437304,0.2522654194679918,5.497935,0.8572951081157043,4.7133527802381145
28,2022-08-04,1,0.5829710115774459,0.4235914065666801,0.7097670442402223,0.062906529094431,-0.0656324582338902,0.2566662454189308,6.1213098,0.8404166633140627,5.1444507572276725
32,2022-08-09,1,0.6201236714621436,0.3798614810868407,0.7518939393939394,0.0666515164382568,-0.1134691083347595,0.2585556278464541,5.8538513,0.8831422221814652,5.169783245401859
34,2022-08-19,1,0.6789331666490516,0.468704932218056,0.7680855525267352,0.1614825044440946,-0.0644864964174168,0.3016860369945981,5.856288,0.9507731416464092,5.568001340146167
35,2022-08-19,1,0.682410082211237,0.4590542099192618,0.7723849372384938,0.1621163128506901,-0.0701947813303932,0.3032679738562091,5.856288,0.9547715945429225,5.591417431862583
33,2022-08-24,1,0.6851663489228391,0.4546346248160863,0.7775974025974026,0.1647825410849018,-0.032300163132137,0.2991653243520281,6.208996,0.957941301261265,5.947853707765989
38,2022-09-08,1,0.7451043169906069,0.516737674984784,0.8350515463917526,0.261766281247054,0.0500107319167203,0.3929033184887229,4.9201674,1.0268699645391979,5.0523721235649175
37,2022-09-13,1,0.7321497746372266,0.5139240506329114,0.8258258258258259,0.2276613286103531,-0.0154352747478905,0.3499543934326543,4.9559274,1.0119722408328105,5.015260956382725
36,2022-09-23,1,0.7130357428972455,0.5261973641915783,0.8231475263040071,0.1867580448918523,-0.0314232902033271,0.3305181094688972,4.496855,0.9899911043318322,4.451846447470121
44,2022-10-03,1,0.6962593512970034,0.5091412742382272,0.8138925294888598,0.1740868605461187,0.0003562522265764,0.3262445625906235,4.068487,0.970698253991554,3.9492732272873354
