Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max
1,2022-01-01,12,0.6764733132890155,0.45545796737766625,0.7418527072106749,0.22947164862408026,-0.027052023121387284,0.3212636246074266
2,2022-01-06,12,0.6353868490705092,0.43226600985221675,0.7007534983853606,0.17836213833764522,-0.07161803713527852,0.26913290272068896
3,2022-01-16,12,0.6147538292880113,0.4336378291241268,0.6818409204602301,0.18086012279746622,-0.038274476633537745,0.26486079759217457
4,2022-01-31,12,0.5907119763519016,0.4129478315524827,0.6699546787523327,0.15956373754488726,-0.06029285099052541,0.2519561815336463
5,2022-02-15,12,0.5475360506483599,0.38522727272727275,0.6260515603799186,0.1186626525896969,-0.10435149978876214,0.20457739409757078
6,2022-03-02,12,0.5012574507561138,0.32214060860440713,0.5818373812038015,0.09825640546934504,-0.11475409836065574,0.176878612716763
7,2022-03-07,12,0.3730295739648592,0.1984732824427481,0.4663499604117181,0.19927873789051997,-0.018259426132321555,0.3191489361702128
8,2022-03-17,12,0.4650676387621097,0.24385485758876316,0.5587884569520629,0.07961683509230608,-0.09918055948007912,0.14935180252175456
9,2022-03-22,12,0.4534742209760917,0.23434570678665168,0.5446020678047607,0.0671272089016978,-0.10711175616835994,0.13398058252427184
10,2022-03-27,12,0.4406352360637817,0.2720496894409938,0.5464956481905634,0.07322669883327343,-0.0967965367965368,0.1403209286445886
11,2022-04-01,12,0.342728341318787,0.16967509025270758,0.43474347434743477,0.13843964458559682,-0.197698314837649,0.22214435879467415
12,2022-04-06,12,0.3711029738568657,0.27974568574023617,0.43212149102623104,0.036593367113132796,-0.1253955037468776,0.09507286606523248
13,2022-04-11,12,0.3915771619888135,0.2673960612691466,0.4810810810810811,0.023856137370056985,-0.16176024279210927,0.08123055651572762
14,2022-04-16,12,0.3950902938425727,0.28810572687224667,0.4670487106017192,0.015471719733869401,-0.16227211089347596,0.07246376811594203
15,2022-05-01,12,0.3620503351248174,0.28578654527061204,0.4425612052730697,-0.009461157264430588,-0.1551213735938425,0.060135578394926746
16,2022-05-11,12,0.35914414906377207,0.29041769041769044,0.4457382394038193,-0.04016215396188627,-0.1584911286715372,0.02122186495176849
17,2022-05-16,12,0.3814361061502269,0.30274361400189215,0.4772093023255814,-0.007763032790698352,-0.13265470996930037,0.0629641588634162
18,2022-05-21,12,0.3480069400790408,0.2727272727272727,0.42495479204339964,-0.026850423314372557,-0.14579470756784088,0.029056924384027186
19,2022-05-26,12,0.34285874059880783,0.2795918367346939,0.4237447207883623,-0.04360956666207034,-0.17227722772277226,0.02453580901856764
20,2022-06-05,12,0.13966630730275223,0.09922928709055877,0.21130551816958276,-0.2513213927581186,-0.3235360614967217,-0.12539012300348815
21,2022-06-10,12,0.12434544113041666,0.09347111319868483,0.19242155121373594,-0.23925720331199035,-0.3083623693379791,-0.12430800201308505
22,2022-06-25,12,0.1408572636798865,0.11174377224199289,0.23679727427597955,-0.32688632914150006,-0.3830429732868757,-0.219163689850809
23,2022-06-30,12,0.1171909396119749,0.09074410163339383,0.19397697077059345,-0.3449976594695897,-0.39118225217635494,-0.19327041444398851
