,Parcela,mean,min,max
2022-01-01,7,0.7616544400654037,0.5851216022889842,0.8119138149556401
2022-01-06,7,0.6998893791388027,0.5496503496503496,0.765206508135169
2022-01-16,7,0.6763832727659873,0.5153035624686403,0.7411304135062393
2022-01-31,7,0.24526839567809933,0.21132323897300856,0.36267823930564164
2022-02-15,7,0.20525914515699717,0.17456021650879566,0.38615096693699313
2022-03-02,7,0.20957203311812772,0.16837315130830488,0.40863017665797857
2022-03-17,7,0.2657379597122805,0.2071611253196931,0.39357429718875503
2022-03-22,7,0.28875107929776556,0.2251889168765743,0.4147754707870594
2022-03-27,7,0.2990272555426074,0.2063157894736842,0.461044912923923
2022-04-06,7,0.29293244348910824,0.22440537745604963,0.3735294117647059
2022-04-11,7,0.3301062974946275,0.2365315546434069,0.4482417038137692
2022-04-16,7,0.35060093355586974,0.2566201251805489,0.48753738783649053
2022-05-16,7,0.5263514464376235,0.25142665323934205,0.6625341458289556
2022-05-21,7,0.5373077379881469,0.3258541560428353,0.6437864513234635
2022-05-26,7,0.49925146764195444,0.2485846628924344,0.6515880654475458
2022-06-05,7,0.6438225736670723,0.38692994828396804,0.7587221521647751
2022-06-10,7,0.6624800512831103,0.3968405935854476,0.7813696299447044
2022-06-30,7,0.6380656251264806,0.39182361047312814,0.7411117658613239
2022-07-20,7,0.7097646516594954,0.4766355140186916,0.785232153814686
2022-07-30,7,0.7526319206451715,0.5093242915960281,0.8105451295799821
2022-08-09,7,0.7972107750115038,0.489779665516326,0.8430717863105175
2022-08-14,7,0.7525539707009438,0.26074259491030455,0.8159600074060359
2022-08-24,7,0.7632712640758531,0.5526561043802423,0.8164419312744672
2022-09-13,7,0.7928172295967926,0.6411794102948526,0.8332958885643675
2022-09-23,7,0.7883148989345052,0.6652631578947369,0.8277904328018223
2022-10-13,7,0.8071523794123536,0.6532114749936532,0.8485833720390153
2022-11-27,7,0.7800834377625172,0.661633281972265,0.8406264394288346
2022-12-22,7,0.7520129167708233,0.6352683461117196,0.7990867579908676
2022-12-27,7,0.7424820956379862,0.5961945031712473,0.8021565869667135
2023-01-06,7,0.6850201274726854,0.5678816693079768,0.7311089303238469
2023-01-16,7,0.6889970695385486,0.5561526061257388,0.748932536293766
2023-02-15,7,0.6033879847176216,0.508822126847878,0.6676272814601345
2023-03-02,7,0.2008806912518734,0.1635294117647059,0.40229885057471265
2023-03-12,7,0.22219488253060218,0.1861635220125786,0.3806386213887481
2023-03-17,7,0.2568021502927879,0.2089041095890411,0.4055619930475087
2023-03-27,7,0.2886156838090491,0.2273201251303441,0.40897369778236203
2023-05-01,7,0.4587342980642794,0.3323685479980704,0.5848520710059172
2023-05-16,7,0.6283323992862072,0.42392073602264685,0.7327344188658057
2023-06-05,7,0.6381674317836669,0.4299393552505586,0.7604912998976459
2023-06-15,7,0.5722113046597093,0.40540540540540543,0.7180969319697643
2023-06-20,7,0.5746262615608905,0.4050213169114164,0.7130004498425551
2023-06-25,7,0.6022467722326897,0.41824918943955536,0.7696754112939084
