Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max
1,2022-03-02,4,0.5616140836742648,0.4675467546754675,0.6255969436485196,0.1565906886063703,0.0630048465266559,0.21597686607626965,0.7302457789869874,0.6447681331747919,0.8814589665653495
2,2022-02-15,4,0.6066914255417996,0.5123634272570443,0.6607056549057516,0.18095818016298063,0.08141447368421052,0.2413793103448276,0.6943577034223116,0.6111111111111112,0.8494296577946768
3,2022-04-16,4,0.2276047645939686,0.16940948693126814,0.2857142857142857,-0.30610272965411217,-0.3798994974874372,-0.21269516252879447,1.8859243463937276,1.5403120936280885,2.2252836304700163
4,2022-04-11,4,0.2108321378870087,0.15664690939881457,0.28872876994338653,-0.3504324353995909,-0.419502430654847,-0.2395709177592372,2.0836428902933557,1.6300940438871474,2.445320197044335
5,2022-04-06,4,0.11634612852718021,0.08925619834710743,0.17687543014452856,-0.1639932507120911,-0.22987840185292416,-0.09224874742116121,1.3936173352697296,1.2032467532467532,1.5969924812030074
6,2022-03-27,4,0.02392167909876933,-0.0687960687960688,0.25886524822695034,-0.4163334691147259,-0.609271523178808,-0.17892052698682534,2.4464953764829347,1.4358178053830228,4.11864406779661
7,2022-04-01,4,0.07977556306174892,-0.20579710144927535,0.28687196110210694,-0.4390406281237605,-0.622093023255814,-0.18571428571428572,2.603678894898409,1.456140350877193,4.292307692307692
8,2022-03-17,4,0.20497078474632616,0.1817180616740088,0.2603305785123967,-0.10617720218018084,-0.1557834757834758,0.013885620145916686,1.2386215922357193,0.9726090993500465,1.369060475161987
9,2022-03-22,4,0.20773850126284688,0.18004338394793926,0.2841025641025641,-0.06877337814336967,-0.12067131544734665,0.05584232754575317,1.1490299981214562,0.8942222222222223,1.2744623655913978
10,2022-04-26,4,0.20884802407238762,-0.06766215585627625,0.33032694475760993,-0.02617427064373142,-0.24525219522156422,0.06838294448913917,1.0656549744280115,0.8719879518072289,1.649891774891775
11,2022-04-21,4,0.21558694272579296,0.1499210941609679,0.2686046511627907,-0.18295377947450112,-0.23591965340685309,-0.10075187969924812,1.4494260565347858,1.2240802675585285,1.6175257731958763
12,2022-05-11,4,0.28841880435560424,0.18734552644587246,0.3705275924802911,-0.14450038541505525,-0.2430886558627264,0.028338813214341632,1.3457182932368734,0.944884287454324,1.6423173803526447
13,2022-05-01,4,0.26130024099460847,0.15500327011118378,0.3270893371757925,-0.1775656232440485,-0.25674144572852936,-0.03544682975536695,1.437454704878932,1.0734989648033126,1.6908536585365854
14,2022-05-16,4,0.32491157639640406,0.22236180904522612,0.4315151515151515,-0.15056978270864205,-0.24198473282442748,-0.035379613692866706,1.358833721802616,1.0733544805709754,1.6384692849949647
15,2022-05-26,4,0.3547929645020393,0.21688741721854304,0.48960931005818786,-0.07676947538144445,-0.22821869488536156,0.16974303293521534,1.1798218629475064,0.7097772277227723,1.5914076782449726
16,2022-05-21,4,0.33359423072544236,0.19220055710306408,0.45040840140023336,-0.13359855214066493,-0.24124513618677043,-0.013709361535448493,1.3136818134539576,1.027799841143765,1.6358974358974359
17,2022-06-10,4,0.46244992821514375,0.2832116788321168,0.5647766867279063,-0.06354851548420605,-0.2082864219770322,0.049673461310112806,1.141738628192713,0.9053544494720965,1.5261660978384528
18,2022-05-31,4,0.4272346887260534,0.254860746190226,0.5404595404595405,-0.06064498806824182,-0.18386876281613124,0.08275983765660844,1.135645912825852,0.8471316818774446,1.4505862646566163
19,2022-06-05,4,0.511312008050921,0.32038834951456313,0.6405114063675107,-0.030265525201875785,-0.16805437553101105,0.09232067510548524,1.0682433814988657,0.830964153275649,1.404003267973856
20,2022-07-05,4,0.5498160452319483,0.37768679631525076,0.6409284699194695,0.06720912559782176,-0.057039462347061864,0.16226415094339622,0.8777811705924644,0.7207792207792207,1.1209795321637428
21,2022-06-25,4,0.5383768259052859,0.3524317121918721,0.6331149493746278,0.0039002237163337397,-0.15009420138162027,0.10164724789071916,0.997428501213149,0.8154631655725748,1.3532019704433498
22,2022-06-20,4,0.42980003748501483,0.29566648381788263,0.5125581395348837,0.052651709240886975,-0.05330661322645291,0.1442646023926812,0.9027491675330225,0.7478474784747847,1.1126164267569856
23,2022-07-10,4,0.5530136251508109,0.3609022556390977,0.652562417871222,0.061351432969825447,-0.036514020576961875,0.1497764530551416,0.887815250200218,0.7394685677252106,1.0757956448911223
24,2022-06-30,4,0.5489893767405291,0.35232558139534886,0.6542523624235687,0.02657550681327667,-0.10453497309761722,0.11590197162336466,0.9526278670195159,0.7922721268163805,1.2334763948497853
25,2022-07-20,4,0.49109466523503953,0.36543606206527557,0.5863377609108159,0.07972167892111048,-0.024464831804281346,0.16140538612448724,0.8547442974841304,0.722051597051597,1.0501567398119123
26,2022-07-15,4,0.40561215788430754,0.297423887587822,0.49346818373367046,0.0993153395707651,-0.008149010477299184,0.15544041450777202,0.8209677965019011,0.7309417040358744,1.016431924882629
27,2022-07-15,4,0.3979526717802439,0.2878787878787879,0.48484848484848486,0.09621346163362704,-0.003875968992248062,0.15159054558379242,0.8261100134717139,0.7367283950617284,1.0077821011673151
28,2022-07-30,4,0.6007538493563689,0.442643391521197,0.6829661472326706,0.11967419505374743,-0.012801678908709339,0.21348314606741572,0.78916811696147,0.6481481481481481,1.02593537414966
29,2022-07-25,4,0.2735632908296298,0.18766404199475065,0.39991390443392166,0.07810473725248941,0.033700476738451425,0.1440428843160989,0.8557617694695466,0.748186215235792,0.9347964376590331
30,2022-08-19,4,0.6319796174282548,0.454319453076445,0.7259713701431493,0.12537382573412806,-0.030598669623059866,0.24229241535842633,0.7812266934315637,0.6099269183922046,1.0631290027447393
31,2022-08-14,4,0.558874760319937,0.3498158863755918,0.6832876712328767,0.11687022568551995,-0.009217493626201216,0.22773837667454688,0.7945338252386003,0.6290115532734275,1.0186064924782265
32,2022-08-04,4,0.5777044040626892,0.45992469069392145,0.6534329752452125,0.11592282871131103,-0.029614325068870524,0.22808927599346762,0.7950897359652134,0.6285460992907801,1.0610361958836054
33,2022-08-09,4,0.5983119900629352,0.4408423385979496,0.7124802527646129,0.09461470940215552,-0.03190485180290731,0.2127540555659146,0.8304170108274291,0.6491389913899139,1.0659126365054603
