,Parcela,mean,min,max,Fecha,Valor
0,5,0.7424358864591907,0.3979197622585438,0.8174292940905955,2022-01-01,3.6051686
1,5,0.6944049613207353,0.3554443053817271,0.7948597029002594,2022-01-06,2.7663534
2,5,0.6804270229301999,0.3677349266702879,0.7576476167891866,2022-01-16,2.9147666
3,5,0.5851783277343107,0.3123272526257601,0.7097203728362184,2022-01-31,3.3946407
4,5,0.6211298754433161,0.3022490400438837,0.7264552768575485,2022-02-15,3.724121
5,5,0.5928204042170186,0.2694487377640391,0.7022058823529411,2022-03-02,4.216826
6,5,0.5547176269406605,0.3069604406609915,0.654799459215863,2022-03-07,4.7891393
7,5,0.5605044065685645,0.2968246663598711,0.6728209531987978,2022-03-17,6.025213
8,5,0.2549158593726447,0.2091481604242625,0.3717542748575047,2022-03-22,5.8426514
9,5,0.4850905503034781,0.0,107.42622950819673,2022-03-27,5.480632
10,5,0.416716056192308,0.0,112.21575342465754,2022-04-01,5.224958
11,5,0.1618845883391486,0.1137884872824631,0.2994039431453462,2022-04-06,7.032402
12,5,0.2058416932793958,0.1477777777777777,0.3333333333333333,2022-04-11,6.4632335
13,5,0.2230604812281282,0.1596516690856313,0.3414634146341463,2022-04-16,5.9641294
14,5,0.3082753693777583,0.2013949433304272,0.5452609158679447,2022-05-01,4.557532
15,5,0.3347599683607452,0.1277693474962064,0.5962360992301112,2022-05-11,5.340196
16,5,0.3746604057333555,0.2305140961857379,0.67003367003367,2022-05-16,6.634955
17,5,0.3867879389404626,0.2598130841121495,0.5711610486891385,2022-05-21,6.268201
18,5,0.3643752338079368,0.1745583038869258,0.5187660668380463,2022-05-26,5.0353475
19,5,0.4413587701061134,0.2469670710571923,0.7153488372093023,2022-06-05,6.74893
20,5,0.5078859727393922,0.2568888888888889,0.698026617714548,2022-06-10,6.6018114
21,5,0.5477544241999516,0.3301518438177874,0.7710583153347732,2022-06-25,5.834705
22,5,0.5460469471588525,0.3035935563816604,0.72639336711193,2022-06-30,5.2296433
23,5,0.5883693731331889,0.3419182948490231,0.7459649122807017,2022-07-05,5.821026
24,5,0.5995544579900953,0.3321217628350749,0.7853309481216458,2022-07-10,6.6173306
25,5,0.0,0.0,0.0,2022-07-15,4.2021303
26,5,0.6229162196265741,0.3555271020059752,0.7693304535637149,2022-07-20,6.577692
27,5,0.5592982357289455,0.3434383725568408,0.6828934506353861,2022-07-25,5.2912865
28,5,0.690923436311477,0.4094887148779364,0.8234691787835348,2022-07-30,5.3640223
29,5,0.6334658252883494,0.1275225418634607,0.7840991976659373,2022-08-04,6.0495334
30,5,0.7547860337254664,0.4198922097011269,0.8608695652173913,2022-08-09,5.821786
31,5,0.6701740137889667,0.1372377622377622,0.8275736631502365,2022-08-14,4.309128
32,5,0.0,0.0,0.0,2022-08-19,5.4715056
33,5,0.7252183538683387,0.4357142857142857,0.8258972833630776,2022-08-24,5.9032273
34,5,0.7592285721743022,0.5596730245231608,0.8483157677206035,2022-09-13,4.602117
35,5,0.7555522197429452,0.5440337385264202,0.8300086730268864,2022-09-23,4.214055
36,5,0.5846162374123459,0.4471485652015982,0.6887519260400616,2022-10-03,3.6969624
37,5,0.7539869452481616,0.3950980392156862,0.8364274962368289,2022-10-13,4.4506645
38,5,0.8128179714166569,0.0,4.263432446531038,2022-10-28,4.3675904
39,5,0.6670957453952974,0.2072599531615925,0.8436397400185701,2022-11-02,2.9819264
40,5,0.7744787424979721,0.4142705005324814,0.8700882117080995,2022-11-27,2.9512036
41,5,0.7165192073555279,0.3497177017602125,0.7953454008127078,2022-12-07,2.4831939
42,5,0.7511304111769074,0.4365122615803815,0.8473927924300383,2022-12-22,2.6765351
43,5,0.7464236447604847,0.4459572103362045,0.839262187088274,2022-12-27,2.6593611
44,5,0.6420131818182985,0.3689482470784641,0.7689075630252101,2023-01-06,3.0615165
45,5,0.681210042265014,0.4296218487394957,0.7882589061716005,2023-01-16,3.1169145
46,5,0.6640322628781439,0.4062665958576739,0.7789450645655505,2023-02-05,3.3240013
47,5,0.6000990510433273,0.3810667948101874,0.7043478260869566,2023-02-15,4.4592023
48,5,0.5723567909544107,0.3114285714285714,0.672085462145843,2023-03-02,6.0360613
49,5,0.571303113658914,0.3247863247863248,0.6802168021680217,2023-03-07,4.690739
50,5,0.5422662267771919,0.3109640831758034,0.6498269896193771,2023-03-12,4.9784517
51,5,0.5868096892562304,0.335022807906741,0.7000228990153423,2023-03-17,5.026175
