Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Valor
14,2022-04-16,14,0.2136200322342255,0.1819477434679335,0.3151219512195122,-0.2015780584186605,-0.2493765586034912,-0.1047188106011635,1.5068789384933066,1.2339350180505415,1.6644518272425248,0.2888220389749699,0.2602607436021246,0.3446384039900249,0.6223766406716768,0.4785925196850393,1.113409169251982,6.278408
13,2022-04-26,14,0.2800577637110488,0.2183908045977011,0.391578947368421,-0.0257534314805269,-0.0879759087975908,0.0786713286713286,1.0549878624708642,0.8541329011345219,1.1929245283018868,0.2875430400226057,0.2295890410958904,0.3871983210912906,2.5026885101457657,0.7859358841778696,17.307692307692307,3.727426
12,2022-05-01,14,0.3109623334835825,0.2519337016574585,0.4190573770491803,-0.1320844819963164,-0.1716867469879518,-0.0318070604683677,1.3061337213835438,1.0657039711191336,1.4145454545454546,0.350525434749431,0.3186302959953569,0.448744769874477,0.9671156735792458,0.65242003962638,1.5144984326018809,4.4133306
11,2022-05-11,14,0.3240690035111166,0.2481143310837634,0.452239397542608,-0.1166341743829552,-0.1629410180447077,-0.0098792535675082,1.266182022512342,1.0199556541019956,1.3893178893178892,0.3635496217645536,0.3191850594227504,0.44251968503937,0.969424251307595,0.638843126487278,1.5205223880597016,5.5266824
10,2022-05-16,14,0.3616558265101083,0.2972972972972973,0.482242190842961,-0.1101359797436974,-0.1743308167467398,-0.017890909090909,1.249992518911108,1.0364336492890995,1.4222776392352452,0.398295175521704,0.3266583229036295,0.4752136752136752,1.1326445965066452,0.8090065625707175,1.8017585931255,6.972256
18,2022-05-21,14,0.3655554220141436,0.2958677685950413,0.4812371134020619,-0.0794998722354651,-0.1262872628726287,0.0342697455508163,1.1746396137075843,0.9337315130830488,1.2890818858560793,0.3894879347545877,0.3436161096829477,0.4751540041067761,1.0950682364178552,0.7762223150856664,1.6736715700990692,7.010074
17,2022-05-31,14,0.367311559915752,0.3091703056768559,0.4534786253143336,-0.0699585149909315,-0.1244226731980405,0.0144711323288079,1.1516702686362028,0.971470588235294,1.2842071611253196,0.3558003560340234,0.3195422535211267,0.4141092068553208,2.1431271380126278,1.336206896551724,3.0485304169514693,5.970695
16,2022-06-05,14,0.4166577221081852,0.3165584415584415,0.5831344470962609,-0.0457218378439572,-0.1069919585661714,0.0455114822546972,1.097608578246891,0.9129392971246006,1.2396214896214897,0.4166480982794395,0.3583646224447225,0.5366795366795367,1.213576644142749,0.8152173913043479,1.8969979296066253,7.2012568
15,2022-06-10,14,0.4156368128532681,0.3112903225806451,0.5817610062893082,-0.0326943024316284,-0.0932475884244373,0.0677988589624519,1.0691736280990454,0.8730119284294234,1.2056737588652482,0.4175891805686713,0.3503709810387469,0.5335365853658537,1.1077655286836707,0.7740133357361687,1.6072980017376195,6.623547
21,2022-06-25,14,0.5001991256920548,0.3702127659574468,0.6398144242935471,-0.0092221293360039,-0.0725478816018572,0.0880089548062124,1.0203860910176208,0.8382201646090535,1.156445556946183,0.4571087196969436,0.3725490196078431,0.5595667870036101,1.6616274298686564,1.0205225972860827,2.3304867634500424,6.116605
