Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,Valor
12,2022-05-01,2,0.1569266548544197,0.0466949666464523,0.2014802631578947,-0.1642935983860681,-0.2584352984797923,-0.0161490683229813,1.4001540120048956,1.0328282828282829,1.697,4.646023
11,2022-05-06,2,0.1734972773403151,0.0795454545454545,0.2219752302318196,-0.179192773577988,-0.2490528974322997,-0.029253451907325,1.4432915153611043,1.0602700096432016,1.663303437967115,5.9410105
10,2022-05-11,2,0.1923144021534404,0.1430997876857749,0.228395061728395,-0.1965112736140394,-0.2412626832018038,-0.1067859021567596,1.4909556397301271,1.2391048292108362,1.6359583952451708,5.807129
13,2022-05-16,2,0.2179983293582308,0.1607651607651607,0.2666105971404541,-0.16674443698881,-0.2181568088033012,-0.0877611940298507,1.4019446169196823,1.192408376963351,1.558057705840957,7.349682
16,2022-05-21,2,0.2198883349621654,0.1506258092360811,0.2837688627162311,-0.173715044790494,-0.2270642201834862,-0.0853909465020576,1.4223828918765091,1.186726659167604,1.5875370919881306,7.3157825
17,2022-05-26,2,0.2366159530910447,0.161660777385159,0.3039049235993208,-0.1997217916010867,-0.2634498058790904,-0.1308228730822873,1.5011787007751969,1.3010269576379974,1.7153614457831323,5.7195063
15,2022-05-31,2,0.2629835573666793,0.1791179117911791,0.3309189678587596,-0.1870055746644584,-0.2584902862227495,-0.0577871740662438,1.4623215449246791,1.1226626776364996,1.6972,6.1670136
14,2022-06-05,2,0.2764761086744872,0.1589871315898713,0.369622475856014,-0.1661605871341548,-0.2434354485776805,-0.0975877192982456,1.4006923284922392,1.2162818955042527,1.64352856109906,7.5889745
21,2022-06-10,2,0.2938296024059187,0.1581108829568788,0.3900955690703735,-0.141082809858725,-0.2166597710660598,-0.0728660652324774,1.3308237703107286,1.157185628742515,1.5531690140845071,6.914571
20,2022-06-20,2,0.3124328311532775,0.2292328642759873,0.3595406360424028,-0.0295914960142549,-0.1116942758733803,0.0175438596491228,1.06219927300661,0.9655172413793104,1.2514771048744462,5.545442
19,2022-06-25,2,0.3921850100339367,0.1914893617021276,0.5045018878884694,-0.1333926479339869,-0.2634959473925676,-0.0430445224459634,1.311355129791537,1.08996138996139,1.715531561461794,6.3322377
18,2022-06-30,2,0.4810221358236913,0.108153078202995,0.5935363579863269,-0.0166545100967431,-0.3038241493526046,0.2368076755342346,1.0435204977811627,0.6170662905500706,1.8728373702422143,5.929358
23,2022-07-05,2,0.4895569789170195,0.2444124008651766,0.5976799367255471,-0.0191774530129093,-0.2301516503122212,0.0699152542372881,1.0434041269411634,0.8693069306930693,1.5979142526071843,5.8840938
24,2022-07-10,2,0.3960891591640763,0.1434830230010952,0.5407952194897725,-0.0300291103487773,-0.2386258124419684,0.1463825014021312,1.0688321522628204,0.7446183953033269,1.6268292682926828,7.1872225
27,2022-07-15,2,0.3970358110421051,0.2295247724974722,0.4886198547215496,0.0292118979927568,-0.1375661375661375,0.1036931818181818,0.9453943138716072,0.8120978120978121,1.3190184049079754,4.0692563
22,2022-07-15,2,0.3890977997135216,0.2197858235594084,0.4804819277108433,0.0262091764545732,-0.142965204236006,0.1007614662652736,0.9510917923406034,0.8169240669240669,1.3336275375110327,4.0692563
25,2022-07-20,2,0.448122083742853,0.2193103448275862,0.5647921760391198,-0.0245851942634468,-0.1995170540295804,0.074299634591961,1.0544199602186386,0.8616780045351474,1.498491704374057,7.215248
29,2022-07-30,2,0.5915931139525605,0.3354470513633481,0.7079129049389272,0.0541345775296158,-0.1670369622298525,0.1836659952389672,0.9021670153990554,0.6896658415841584,1.401066925315228,5.621991
32,2022-08-09,2,0.5932735151670767,0.4042746703046839,0.7237788246962559,0.0411371684880746,-0.0885578654444262,0.166584280771132,0.9251919657602526,0.714406779661017,1.1943247126436782,5.9397507
31,2022-08-14,2,0.6326196176350364,0.4434021263289556,0.7187073281747838,0.1365589494935175,-0.0801115982463132,0.254328832406672,0.7625547348322677,0.5944782168186423,1.1741767764298094,4.7778025
34,2022-08-19,2,0.6436398404431287,0.5126872516050137,0.7334669338677354,0.1153221648128092,-0.040912667191188,0.2321871676710386,0.7959409313294694,0.6231300345224395,1.085315832649713,6.0954046
