Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,Valor
16,2022-05-16,8,0.2563310772380801,0.1723329425556858,0.4079885877318117,-0.0587256863688009,-0.2750849027477616,0.1049226441631504,1.1324799805673351,0.810081466395112,1.7589437819420783,6.634955
14,2022-05-21,8,0.1855200444125517,0.1541964866623292,0.2515151515151515,-0.2604154458325778,-0.3176419779745195,-0.1584806810740013,1.7089846845079442,1.3766536964980545,1.931012658227848,6.268201
15,2022-05-26,8,0.2020815949449068,0.0756013745704467,0.358609794628752,-0.1192231083598996,-0.2470156106519742,0.0726447219069239,1.279737168464422,0.8645502645502645,1.6560975609756097,5.0353475
19,2022-06-05,8,0.2142980888222282,0.1651053864168618,0.3094083414161008,-0.2284201273949014,-0.2982328292949535,-0.138755980861244,1.5948629178626086,1.3222222222222222,1.849948078920041,6.74893
20,2022-06-10,8,0.2260465111709257,0.1586206896551724,0.3126272912423625,-0.229185503917,-0.3040946314831665,-0.1484576812034645,1.5988798474157206,1.348679514632405,1.8739539748953973,6.6018114
18,2022-06-20,8,0.2385666446312686,0.1765339074273412,0.3057633084029916,-0.0991802812833218,-0.1571235781762097,-0.0206236594621349,1.2221710718284498,1.0421159029649596,1.3728270814272645,5.137292
17,2022-06-25,8,0.3283588374179728,0.1827751196172248,0.4840731070496084,-0.1345516979861964,-0.4185502727981294,0.0897376898297284,1.327063092707161,0.8353040540540541,2.439678284182305,5.834705
21,2022-06-30,8,0.3216533187163093,0.1948051948051948,0.460197833254828,-0.1435790794588916,-0.2402003108271455,-0.0519877675840978,1.3401098121090207,1.1096774193548389,1.632272727272727,5.2296433
24,2022-07-05,8,0.3751496949830803,0.2441430332922318,0.5096391497775581,-0.1360149810693464,-0.2574366507528461,-0.0263032042085126,1.3227329906222531,1.0540275049115913,1.6933728981206726,5.821026
25,2022-07-10,8,0.3911645184731485,0.2351097178683385,0.5532994923857868,-0.1227049376937444,-0.2511516491615994,-0.0021196804174139,1.287414512791224,1.004248366013072,1.670767716535433,6.6173306
22,2022-07-20,8,0.4513571054353034,0.2998160637645616,0.5890263582571275,-0.0599833922230431,-0.1987720644666155,0.0544351240406924,1.1342849081503543,0.8967501692620176,1.496168582375479,6.577692
30,2022-07-25,8,0.4304916553290135,0.3134479271991911,0.5278276481149012,0.032610640725325,-0.0857142857142857,0.1262200165425971,0.9398630918628365,0.7758519388954171,1.1875,5.2912865
28,2022-07-30,8,0.5342798641392327,0.3621825023518344,0.6934731934731935,0.0046324187484152,-0.1438735177865612,0.1240201005025125,0.9957748817031434,0.7793276108726752,1.3361034164358263,5.3640223
27,2022-08-09,8,0.6476018426515686,0.4677092383434694,0.7842023748064016,0.0811283030365997,-0.1129893238434163,0.2382658545324256,0.8557503611427021,0.6151620370370371,1.254764292878636,5.821786
26,2022-08-14,8,0.6227782718761615,0.2002042900919305,0.7433455961913006,0.1261052786153906,-0.0627473148671565,0.2626959247648903,0.7802008248178087,0.5839126117179742,1.1338962605548857,4.309128
34,2022-08-19,8,0.632471628308612,0.4860524091293322,0.7382143797735053,0.2841287840248256,-0.1370481927710843,0.4529280948851,0.5661857624469334,0.376530612244898,1.317626527050611,5.4715056
33,2022-08-24,8,0.6187368339900557,0.4337899543378995,0.7495495495495496,0.1189111785284611,0.0037355855124248,0.2579757085020243,0.7914610323815124,0.5898558187435633,0.9925566343042072,5.9032273
32,2022-09-13,8,0.7048845476672692,0.5229450327786183,0.8212447356106691,0.1950828356868799,0.045658012533572,0.3538887926554651,0.6786456082324059,0.4772262026612078,0.9126712328767124,4.602117
31,2022-09-23,8,0.7362549481041963,0.5727170236753101,0.8295019157088123,0.2203487716816941,0.0506982973024679,0.3729087965461414,0.6444577702951484,0.4567610062893081,0.903495994173343,4.214055
37,2022-10-13,8,0.7667929708655187,0.5572272971520688,0.8591817316841104,0.2720961467768426,0.066414380321665,0.4130395521040274,0.5772558035106656,0.4153885480572597,0.8754435770049681,4.4506645
40,2022-11-27,8,0.8061744201410593,0.6351459951781409,0.865359814289399,0.3363429921144366,0.1598984771573604,0.4201271979049756,0.4993682503294334,0.4083245521601686,0.7242888402625821,2.9512036
41,2022-12-07,8,0.7415572091909802,0.5895522388059702,0.8072770891643343,0.3198183234746327,0.1309109009457441,0.4485387547649301,0.5178591059113044,0.3807017543859649,0.7684859154929577,2.4831939
39,2022-12-22,8,0.7755375293951624,0.573734001112966,0.8389587469666887,0.3310644576929409,0.1377992355662844,0.4224049331963001,0.5054504999146022,0.4060693641618497,0.7577793493635078,2.6765351
43,2022-12-27,8,0.7701043035710914,0.5409652076318743,0.8442028985507246,0.3164102104506219,0.0924715113020736,0.4035597529967308,0.5228101097537216,0.4249482401656315,0.8307113543091655,2.6593611
45,2023-01-06,8,0.6866324066382767,0.4780827529700942,0.7743820224719101,0.2462496352582284,0.0560064935064935,0.3532133676092545,0.6088922712491445,0.4779635258358662,0.8939277478862413,3.0615165
44,2023-01-16,8,0.7045883219316551,0.5129107981220657,0.7917485265225933,0.2687581326985147,0.0757354475276444,0.3696327425543577,0.5806147168153085,0.4602454642475987,0.8591931730023273,3.1169145
47,2023-01-31,8,0.6488133215865823,0.4735028005170185,0.7381576647439259,0.2499883911178448,0.0812866423704642,0.3538123971475589,0.6035108795650839,0.4773095623987034,0.8496483001172332,2.871845
