,Fecha,Valor
0,2022-01-01,3.877639
0,2022-01-02,4.6939826
0,2022-01-03,2.541368
0,2022-01-04,2.8636718
0,2022-01-05,2.7524903
0,2022-01-06,2.869796
0,2022-01-07,1.9645078
0,2022-01-08,3.4125302
0,2022-01-09,3.1961424
0,2022-01-10,3.4383526
0,2022-01-11,1.5707389
0,2022-01-12,2.3036175
0,2022-01-13,2.709697
0,2022-01-14,3.3124106
0,2022-01-15,3.8151438
0,2022-01-16,2.9935906
0,2022-01-17,2.9539316
0,2022-01-18,3.2622292
0,2022-01-19,3.2436993
0,2022-01-20,3.3196373
0,2022-01-21,1.8532814
0,2022-01-22,1.3400109
0,2022-01-23,1.2313387
0,2022-01-24,2.7718704
0,2022-01-25,2.7192807
0,2022-01-26,1.9915363
0,2022-01-27,1.6605337
0,2022-01-28,2.4232934
0,2022-01-29,2.01099
0,2022-01-30,3.360427
0,2022-01-31,3.527416
0,2022-02-01,3.3608513
0,2022-02-02,4.202152
0,2022-02-03,4.0871406
0,2022-02-04,2.718778
0,2022-02-05,2.5252254
0,2022-02-06,3.2565532
0,2022-02-07,2.9113557
0,2022-02-08,1.6905423
0,2022-02-09,3.1375344
0,2022-02-10,2.6980212
0,2022-02-11,2.4181945
0,2022-02-12,4.5039463
0,2022-02-13,3.1998172
0,2022-02-14,3.0599632
0,2022-02-15,3.7707696
0,2022-02-16,4.233009
0,2022-02-17,4.9141665
0,2022-02-18,4.765768
0,2022-02-19,2.757239
0,2022-02-20,3.6646976
0,2022-02-21,4.300379
0,2022-02-22,4.419782
0,2022-02-23,4.541538
0,2022-02-24,4.1042123
0,2022-02-25,2.6699464
0,2022-02-26,2.9049575
0,2022-02-27,3.0758886
0,2022-02-28,3.4874558
0,2022-03-01,4.100296
0,2022-03-02,4.3141017
0,2022-03-03,3.8488011
0,2022-03-04,3.7441578
0,2022-03-05,4.9870586
0,2022-03-06,5.074271
0,2022-03-07,5.421426
0,2022-03-08,4.0980268
0,2022-03-09,3.402782
0,2022-03-10,5.1094766
0,2022-03-11,6.665742
0,2022-03-12,4.15014
0,2022-03-13,4.30054
0,2022-03-14,4.9675083
0,2022-03-15,5.6643715
0,2022-03-16,5.572387
0,2022-03-17,6.4403524
0,2022-03-18,6.19679
0,2022-03-19,3.8458648
0,2022-03-20,4.210326
0,2022-03-21,6.1830025
0,2022-03-22,6.455727
0,2022-03-23,5.668147
0,2022-03-24,5.0021715
0,2022-03-25,5.361125
0,2022-03-26,5.630981
0,2022-03-27,5.671845
0,2022-03-28,5.7571645
0,2022-03-29,6.344171
0,2022-03-30,7.005221
0,2022-03-31,6.3882875
0,2022-04-01,5.590019
0,2022-04-02,6.0001936
0,2022-04-03,5.5832734
0,2022-04-04,6.68345
0,2022-04-05,6.8384385
0,2022-04-06,7.203085
0,2022-04-07,7.03079
0,2022-04-08,5.5859714
0,2022-04-09,6.0365376
0,2022-04-10,6.7367
0,2022-04-11,7.1499596
0,2022-04-12,6.388403
0,2022-04-13,7.1524043
0,2022-04-14,7.0200467
0,2022-04-15,6.4171376
0,2022-04-16,6.278408
0,2022-04-17,6.4095845
0,2022-04-18,5.7845964
0,2022-04-19,5.414927
0,2022-04-20,6.2387676
0,2022-04-21,4.439428
0,2022-04-22,4.653979
0,2022-04-23,6.1339383
0,2022-04-24,5.8173237
0,2022-04-25,4.7754154
0,2022-04-26,3.727426
0,2022-04-27,4.5504956
0,2022-04-28,4.6943026
0,2022-04-29,5.8141828
0,2022-04-30,5.976687
0,2022-05-01,4.4133306
0,2022-05-02,5.21492
0,2022-05-03,5.497254
0,2022-05-04,6.1204824
0,2022-05-05,6.1207013
0,2022-05-06,5.765691
0,2022-05-07,6.464429
0,2022-05-08,6.850269
0,2022-05-09,6.8278728
0,2022-05-10,4.7023
0,2022-05-11,5.5266824
0,2022-05-12,6.5495334
0,2022-05-13,6.973921
0,2022-05-14,6.513673
0,2022-05-15,6.943567
0,2022-05-16,6.972256
0,2022-05-17,7.2349224
0,2022-05-18,6.6217246
0,2022-05-19,6.82232
0,2022-05-20,7.0576935
0,2022-05-21,7.010074
0,2022-05-22,6.0937243
0,2022-05-23,5.4620023
0,2022-05-24,5.6744356
0,2022-05-25,6.6858196
0,2022-05-26,5.5792437
0,2022-05-27,6.423689
0,2022-05-28,6.5365343
0,2022-05-29,7.0347314
0,2022-05-30,6.8841166
0,2022-05-31,5.970695
0,2022-06-01,5.6507936
0,2022-06-02,5.6061006
0,2022-06-03,6.4662323
0,2022-06-04,6.406964
0,2022-06-05,7.2012568
0,2022-06-06,7.443029
0,2022-06-07,7.2839193
0,2022-06-08,6.9081163
0,2022-06-09,5.2141356
0,2022-06-10,6.623547
0,2022-06-11,6.4927278
0,2022-06-12,6.4259114
0,2022-06-13,5.3211484
0,2022-06-14,4.563392
0,2022-06-15,4.5816355
0,2022-06-16,5.0125675
0,2022-06-17,5.929833
0,2022-06-18,5.5401926
0,2022-06-19,5.3183184
0,2022-06-20,5.417619
0,2022-06-21,4.5759473
0,2022-06-22,3.9470391
0,2022-06-23,5.545769
0,2022-06-24,6.0540533
0,2022-06-25,6.116605
0,2022-06-26,5.9709063
0,2022-06-27,5.9378204
0,2022-06-28,6.0446997
0,2022-06-29,5.4504385
0,2022-06-30,5.7948074
0,2022-07-01,6.489985
0,2022-07-02,5.546734
0,2022-07-03,5.6773577
0,2022-07-04,5.4153194
0,2022-07-05,5.679393
0,2022-07-06,6.471381
0,2022-07-07,5.7832985
0,2022-07-08,6.2239237
0,2022-07-09,6.451983
0,2022-07-10,6.8954334
0,2022-07-11,7.0055327
0,2022-07-12,6.442439
0,2022-07-13,6.254908
0,2022-07-14,5.381835
0,2022-07-15,4.057682
0,2022-07-16,5.4509263
0,2022-07-17,5.843363
0,2022-07-18,6.2238045
0,2022-07-19,6.7269726
0,2022-07-20,6.871166
0,2022-07-21,6.783468
0,2022-07-22,5.619045
0,2022-07-23,5.844585
0,2022-07-24,5.61385
0,2022-07-25,5.23119
0,2022-07-26,5.931402
0,2022-07-27,5.2814927
0,2022-07-28,5.431543
0,2022-07-29,5.112069
0,2022-07-30,5.492854
0,2022-07-31,5.4975214
0,2022-08-01,5.30503
0,2022-08-02,5.1327896
0,2022-08-03,5.9028053
0,2022-08-04,6.124797
0,2022-08-05,5.687657
0,2022-08-06,5.650063
0,2022-08-07,5.7392015
0,2022-08-08,6.0859065
0,2022-08-09,5.827051
0,2022-08-10,6.155665
0,2022-08-11,6.222659
0,2022-08-12,6.3387556
0,2022-08-13,5.2413015
0,2022-08-14,4.6757207
0,2022-08-15,5.1202493
0,2022-08-16,4.5079584
0,2022-08-17,5.408225
0,2022-08-18,5.8401766
0,2022-08-19,5.8684616
0,2022-08-20,5.5351486
0,2022-08-21,4.8415337
0,2022-08-22,6.052587
0,2022-08-23,6.116062
0,2022-08-24,6.1952357
0,2022-08-25,6.1003056
0,2022-08-26,5.8236547
0,2022-08-27,6.08957
0,2022-08-28,6.06885
0,2022-08-29,5.3091702
0,2022-08-30,5.309643
0,2022-08-31,5.52278
0,2022-09-01,5.0253954
0,2022-09-02,4.640084
0,2022-09-03,3.6785247
0,2022-09-04,4.301091
0,2022-09-05,3.896649
0,2022-09-06,3.5705771
0,2022-09-07,3.314243
0,2022-09-08,4.939099
0,2022-09-09,4.841419
0,2022-09-10,4.4893513
0,2022-09-11,4.717594
0,2022-09-12,5.251155
0,2022-09-13,4.9527225
0,2022-09-14,4.684768
0,2022-09-15,3.764082
0,2022-09-16,3.6525385
0,2022-09-17,3.7437556
0,2022-09-18,3.8110776
0,2022-09-19,3.8193605
0,2022-09-20,4.144424
0,2022-09-21,4.2632403
0,2022-09-22,3.957343
0,2022-09-23,4.5191703
0,2022-09-24,4.7423143
0,2022-09-25,4.706302
0,2022-09-26,4.091234
0,2022-09-27,3.6156986
0,2022-09-28,4.2649546
0,2022-09-29,4.438333
0,2022-09-30,4.6698904
0,2022-10-01,4.611364
0,2022-10-02,4.1448646
0,2022-10-03,4.1034803
0,2022-10-04,2.749271
0,2022-10-05,2.9594045
0,2022-10-06,2.4725332
0,2022-10-07,3.19252
0,2022-10-08,3.2015448
0,2022-10-09,4.008987
0,2022-10-10,3.0830345
0,2022-10-11,3.76667
0,2022-10-12,4.4191003
0,2022-10-13,4.6832104
0,2022-10-14,3.9940798
0,2022-10-15,4.2976966
0,2022-10-16,4.7363224
0,2022-10-17,3.959377
0,2022-10-18,2.3990605
0,2022-10-19,2.2398415
0,2022-10-20,3.652343
0,2022-10-21,3.977452
0,2022-10-22,4.1040254
0,2022-10-23,4.157967
0,2022-10-24,4.4456525
0,2022-10-25,3.9930403
0,2022-10-26,3.7003498
0,2022-10-27,4.303356
0,2022-10-28,4.6422086
