,Fecha,Valor
0,2022-01-01,3.9001756
0,2022-01-02,4.5943995
0,2022-01-03,2.515481
0,2022-01-04,2.8383808
0,2022-01-05,2.750939
0,2022-01-06,2.8688042
0,2022-01-07,1.9492849
0,2022-01-08,3.3965893
0,2022-01-09,3.1805253
0,2022-01-10,3.3283286
0,2022-01-11,1.5531441
0,2022-01-12,2.2928126
0,2022-01-13,2.701144
0,2022-01-14,3.2957046
0,2022-01-15,3.7616763
0,2022-01-16,2.9731863
0,2022-01-17,2.9420338
0,2022-01-18,3.2426128
0,2022-01-19,3.2368712
0,2022-01-20,3.2680287
0,2022-01-21,1.8372017
0,2022-01-22,1.3467778
0,2022-01-23,1.2278504
0,2022-01-24,2.762327
0,2022-01-25,2.707611
0,2022-01-26,1.9746404
0,2022-01-27,1.6512766
0,2022-01-28,2.368228
0,2022-01-29,1.987011
0,2022-01-30,3.3350372
0,2022-01-31,3.5241342
0,2022-02-01,3.36915
0,2022-02-02,4.205017
0,2022-02-03,4.047592
0,2022-02-04,2.63804
0,2022-02-05,2.4935918
0,2022-02-06,3.240675
0,2022-02-07,2.8492618
0,2022-02-08,1.672844
0,2022-02-09,3.1323414
0,2022-02-10,2.6899288
0,2022-02-11,2.4120593
0,2022-02-12,4.481979
0,2022-02-13,3.1635082
0,2022-02-14,3.0352616
0,2022-02-15,3.7533672
0,2022-02-16,4.2288136
0,2022-02-17,4.9458666
0,2022-02-18,4.7470546
0,2022-02-19,2.758794
0,2022-02-20,3.6730897
0,2022-02-21,4.313969
0,2022-02-22,4.452522
0,2022-02-23,4.566727
0,2022-02-24,4.126805
0,2022-02-25,2.6505485
0,2022-02-26,2.8988883
0,2022-02-27,3.0451262
0,2022-02-28,3.4891396
0,2022-03-01,4.100381
0,2022-03-02,4.3111725
0,2022-03-03,3.841077
0,2022-03-04,3.7349749
0,2022-03-05,5.002881
0,2022-03-06,5.099603
0,2022-03-07,5.4171133
0,2022-03-08,4.1090417
0,2022-03-09,3.3939776
0,2022-03-10,5.1255617
0,2022-03-11,6.6955924
0,2022-03-12,4.091399
0,2022-03-13,4.2841244
0,2022-03-14,4.989402
0,2022-03-15,5.692563
0,2022-03-16,5.60086
0,2022-03-17,6.4901423
0,2022-03-18,6.209006
0,2022-03-19,3.8670838
0,2022-03-20,4.2313986
0,2022-03-21,6.2151604
0,2022-03-22,6.49226
0,2022-03-23,5.681249
0,2022-03-24,5.025889
0,2022-03-25,5.417648
0,2022-03-26,5.680782
0,2022-03-27,5.696387
0,2022-03-28,5.7796435
0,2022-03-29,6.37674
0,2022-03-30,7.0753345
0,2022-03-31,6.4473853
0,2022-04-01,5.6393614
0,2022-04-02,6.0379457
0,2022-04-03,5.625014
0,2022-04-04,6.723894
0,2022-04-05,6.9374924
0,2022-04-06,7.3021927
0,2022-04-07,7.033628
0,2022-04-08,5.61723
0,2022-04-09,6.045633
0,2022-04-10,6.769305
0,2022-04-11,7.250565
0,2022-04-12,6.459893
0,2022-04-13,7.243197
0,2022-04-14,7.080958
0,2022-04-15,6.469718
0,2022-04-16,6.3235817
0,2022-04-17,6.4632406
0,2022-04-18,5.8272114
0,2022-04-19,5.4386744
0,2022-04-20,6.259653
0,2022-04-21,4.4672465
0,2022-04-22,4.6793137
0,2022-04-23,6.1608152
0,2022-04-24,5.842001
0,2022-04-25,4.8010397
0,2022-04-26,3.7220933
0,2022-04-27,4.5750756
0,2022-04-28,4.70854
0,2022-04-29,5.8349957
0,2022-04-30,6.0077925
0,2022-05-01,4.4319563
0,2022-05-02,5.2336216
0,2022-05-03,5.5238285
0,2022-05-04,6.149925
0,2022-05-05,6.1572537
0,2022-05-06,5.818231
0,2022-05-07,6.514184
0,2022-05-08,6.898319
0,2022-05-09,6.873853
0,2022-05-10,4.719897
0,2022-05-11,5.555295
0,2022-05-12,6.584034
0,2022-05-13,7.0040317
0,2022-05-14,6.5503764
0,2022-05-15,6.992403
0,2022-05-16,7.015527
0,2022-05-17,7.283208
0,2022-05-18,6.6445413
0,2022-05-19,6.859203
0,2022-05-20,7.12403
0,2022-05-21,7.0722632
0,2022-05-22,6.1430106
0,2022-05-23,5.482519
0,2022-05-24,5.6816564
0,2022-05-25,6.703907
0,2022-05-26,5.6280923
0,2022-05-27,6.4852633
0,2022-05-28,6.589991
0,2022-05-29,7.065451
0,2022-05-30,6.9200783
0,2022-05-31,6.013163
0,2022-06-01,5.6959753
0,2022-06-02,5.6346087
0,2022-06-03,6.508417
0,2022-06-04,6.453644
0,2022-06-05,7.2417297
0,2022-06-06,7.485707
0,2022-06-07,7.326532
0,2022-06-08,6.9509106
0,2022-06-09,5.246048
0,2022-06-10,6.6546965
0,2022-06-11,6.5242877
0,2022-06-12,6.45826
0,2022-06-13,5.344526
0,2022-06-14,4.567664
0,2022-06-15,4.58698
0,2022-06-16,5.0191393
0,2022-06-17,5.9542003
0,2022-06-18,5.57153
0,2022-06-19,5.3430085
0,2022-06-20,5.43286
0,2022-06-21,4.5984125
0,2022-06-22,3.9312391
0,2022-06-23,5.5570464
0,2022-06-24,6.073768
0,2022-06-25,6.12604
0,2022-06-26,5.9755173
0,2022-06-27,5.9675975
0,2022-06-28,6.0692143
0,2022-06-29,5.4649158
0,2022-06-30,5.818165
0,2022-07-01,6.5068064
0,2022-07-02,5.559248
0,2022-07-03,5.68576
0,2022-07-04,5.4199495
0,2022-07-05,5.6756487
0,2022-07-06,6.4858246
0,2022-07-07,5.804452
0,2022-07-08,6.232859
0,2022-07-09,6.4743595
0,2022-07-10,6.9233246
0,2022-07-11,7.0238795
0,2022-07-12,6.456805
0,2022-07-13,6.281458
0,2022-07-14,5.3893905
0,2022-07-15,4.0642843
0,2022-07-16,5.45657
0,2022-07-17,5.8460693
0,2022-07-18,6.217479
0,2022-07-19,6.7266026
0,2022-07-20,6.8602767
0,2022-07-21,6.7828007
0,2022-07-22,5.6414433
0,2022-07-23,5.8438225
0,2022-07-24,5.617556
0,2022-07-25,5.238458
0,2022-07-26,5.935147
0,2022-07-27,5.2777233
0,2022-07-28,5.4373894
0,2022-07-29,5.100988
0,2022-07-30,5.497935
0,2022-07-31,5.5082393
0,2022-08-01,5.2965937
0,2022-08-02,5.1173124
0,2022-08-03,5.8913374
0,2022-08-04,6.1213098
0,2022-08-05,5.676942
0,2022-08-06,5.6529174
0,2022-08-07,5.748641
0,2022-08-08,6.093254
0,2022-08-09,5.8538513
0,2022-08-10,6.170639
0,2022-08-11,6.2311807
0,2022-08-12,6.3638535
0,2022-08-13,5.2463865
0,2022-08-14,4.676853
0,2022-08-15,5.11837
0,2022-08-16,4.4951296
0,2022-08-17,5.403009
0,2022-08-18,5.8353186
0,2022-08-19,5.856288
0,2022-08-20,5.531562
0,2022-08-21,4.8356853
0,2022-08-22,6.0397506
0,2022-08-23,6.1283226
0,2022-08-24,6.208996
0,2022-08-25,6.1183443
0,2022-08-26,5.819475
0,2022-08-27,6.091208
0,2022-08-28,6.069283
0,2022-08-29,5.30717
0,2022-08-30,5.3047047
0,2022-08-31,5.534381
0,2022-09-01,5.015854
0,2022-09-02,4.6236815
0,2022-09-03,3.681317
0,2022-09-04,4.285679
0,2022-09-05,3.882602
0,2022-09-06,3.5519512
0,2022-09-07,3.2854326
0,2022-09-08,4.9201674
0,2022-09-09,4.8459015
0,2022-09-10,4.494425
0,2022-09-11,4.701072
0,2022-09-12,5.238432
0,2022-09-13,4.9559274
0,2022-09-14,4.6591234
0,2022-09-15,3.7337942
0,2022-09-16,3.6323776
0,2022-09-17,3.7250018
0,2022-09-18,3.8071265
0,2022-09-19,3.801895
0,2022-09-20,4.122594
0,2022-09-21,4.245302
0,2022-09-22,3.9225755
0,2022-09-23,4.496855
0,2022-09-24,4.7367854
0,2022-09-25,4.696396
0,2022-09-26,4.041022
0,2022-09-27,3.5701125
0,2022-09-28,4.2168136
0,2022-09-29,4.393023
0,2022-09-30,4.6473494
0,2022-10-01,4.5948195
0,2022-10-02,4.11244
0,2022-10-03,4.068487
0,2022-10-04,2.7329397
0,2022-10-05,2.9400976
0,2022-10-06,2.4263346
0,2022-10-07,3.1428776
0,2022-10-08,3.117919
0,2022-10-09,3.9621685
0,2022-10-10,3.0512307
0,2022-10-11,3.7385256
0,2022-10-12,4.4159703
0,2022-10-13,4.669134
0,2022-10-14,3.9951503
0,2022-10-15,4.2855897
0,2022-10-16,4.718291
0,2022-10-17,3.9358582
0,2022-10-18,2.3153248
0,2022-10-19,2.1777976
0,2022-10-20,3.6079879
0,2022-10-21,3.9299703
0,2022-10-22,4.0456624
0,2022-10-23,4.1005316
0,2022-10-24,4.402746
0,2022-10-25,3.9066362
0,2022-10-26,3.6798303
0,2022-10-27,4.2727923
0,2022-10-28,4.5778527
0,2022-10-29,3.4905298
0,2022-10-30,3.5653915
0,2022-10-31,2.644919
0,2022-11-01,2.9365087
